UniqueID,appid,Title,Type,Price,Release_Date,Rating,Required_Age,Is_Multiplayer
73,310560,DiRT Rally,game,59.99,12/07/2015 00:00,86,0,1
74,310950,Street Fighter V,game,59.99,2/15/2016 0:00,74,0,1
75,311210,Call of Duty®: Black Ops III,game,59.99,11/05/2015 00:00,-1,17,1
76,330070,Sony Movie Studio 13 Platinum - Steam Powered,game,59.99,02/05/2015 00:00,-1,0,0
77,332360,Spriter Pro,game,59.99,11/14/2014 0:00,-1,0,0
78,350310,BLADESTORM: Nightmare,game,59.99,5/28/2015 0:00,-1,0,0
79,359380,The Secret World: Ultimate Edition,game,59.99,06/11/2015 00:00,-1,17,1
80,359550,Tom Clancy's Rainbow Six® Siege,game,59.99,12/01/2015 00:00,-1,17,1
81,360790,MAGIX Audio Cleaning Lab 2016,game,59.99,5/18/2015 0:00,-1,0,0
82,363130,Toukiden: Kiwami,game,59.99,6/25/2015 0:00,-1,0,0
83,365590,Tom Clancy’s The Division™,game,59.99,03/07/2016 00:00,-1,17,1
84,366842,Call of Duty®: Black Ops III,game,59.99,11/05/2015 00:00,-1,17,1
85,368500,Assassin's Creed® Syndicate,game,59.99,11/18/2015 0:00,74,17,0
86,370240,NBA 2K16,game,59.99,9/29/2015 0:00,-1,0,1
87,371660,Far Cry® Primal,game,59.99,2/29/2016 0:00,74,17,0
88,374320,DARK SOULS™ III,game,59.99,04/11/2016 00:00,89,17,1
89,375910,Anno 2205™,game,59.99,11/02/2015 00:00,72,0,0
90,377160,Fallout 4,game,59.99,11/09/2015 00:00,84,17,0
91,388520,Call of Duty®: Black Ops III,game,59.99,11/05/2015 00:00,-1,17,1
92,388980,Race Track Builder,game,59.99,8/20/2015 0:00,-1,0,0
93,391220,Rise of the Tomb Raider™,game,59.99,1/28/2016 0:00,86,17,0
94,392470,NOBUNAGA'S AMBITION: Sphere of Influence,game,59.99,09/01/2015 00:00,70,0,0
95,394230,Battleborn,game,59.99,05/02/2016 00:00,-1,0,1
96,401890,ARSLAN: THE WARRIORS OF LEGEND,game,59.99,02/09/2016 00:00,57,0,1
97,404230,MAGIX Music Maker 2016,game,59.99,10/19/2015 0:00,-1,0,0
98,405700,Audials Tunebite Platinum 2016,game,59.99,10/23/2015 0:00,-1,0,0
99,410850,DRAGON QUEST HEROES™ Slime Edition,game,59.99,12/03/2015 00:00,-1,13,0
100,411340,Quicken WillMaker Plus 2016,game,59.99,1/21/2016 0:00,-1,0,0
101,411350,Quicken Legal Business Pro,game,59.99,1/26/2016 0:00,-1,0,0
102,214950,Total War™: ROME II - Emperor Edition,game,59.95,09/02/2013 00:00,76,0,1
103,286570,F1 2015,game,54.99,07/09/2015 00:00,61,0,1
104,363090,NOBUNAGA’S AMBITION: Kakushin with Power Up Kit / ???????? with ?????????,game,54.99,6/25/2015 0:00,-1,0,0
105,363110,NOBUNAGA’S AMBITION: Tendou with Power Up Kit / ???????? with ?????????,game,54.99,6/25/2015 0:00,-1,0,0
106,370730,NOBUNAGA'S AMBITION: Tenshouki WPK HD Version / ????????? with ????????? HD Version,game,54.99,11/11/2015 00:00,-1,0,0
107,395960,???? ????,game,54.99,11/02/2015 00:00,-1,0,1
108,213120,Transformers™: Fall of Cybertron™,game,49.99,8/20/2012 0:00,-1,0,1
109,214340,Deponia,game,49.99,08/06/2012 00:00,74,0,0
110,214490,Alien: Isolation,game,49.99,10/06/2014 00:00,81,16,0
111,219910,Edna & Harvey: Harvey's New Eyes,game,49.99,10/16/2012 0:00,75,0,0
112,220960,ACDSee 15,game,49.99,12/11/2012 00:00,-1,0,0
113,224380,Virtual DJ - Broadcaster Edition,game,49.99,03/07/2013 00:00,-1,0,0
114,228180,Action! - Gameplay Recording and Streaming,game,49.99,05/08/2014 00:00,-1,0,0
115,230820,The Night of the Rabbit,game,49.99,5/28/2013 0:00,75,0,0
116,231180,Art Rage 4,game,49.99,02/12/2013 00:00,-1,0,0
117,232890,Stronghold Crusader 2,game,49.99,9/22/2014 0:00,65,0,1
118,236890,PCMark 8,game,49.99,10/21/2013 0:00,-1,0,0
119,238090,Sniper Elite 3,game,49.99,6/27/2014 0:00,-1,0,1
120,240460,WWE 2K15,game,49.99,4/28/2015 0:00,70,13,1
121,241930,Middle-earth™: Shadow of Mordor™,game,49.99,9/30/2014 0:00,-1,0,0
122,243200,Memoria,game,49.99,8/29/2013 0:00,79,0,0
123,245760,TRANSFORMERS™: Rise of the Dark Spark,game,49.99,6/24/2014 0:00,-1,0,1
124,260990,Odesi Music Composition,game,49.99,3/15/2016 0:00,-1,0,0
125,262490,Manga Maker Comipo,game,49.99,03/07/2014 00:00,-1,0,0
126,265550,Dead Rising 3 Apocalypse Edition,game,49.99,09/05/2014 00:00,-1,17,1
127,268540,The Whispered World Special Edition,game,49.99,05/06/2014 00:00,-1,0,0
128,268890,Masters of the World - Geopolitical Simulator 3,game,49.99,02/05/2014 00:00,-1,0,1
129,278080,DYNASTY WARRIORS 8: Xtreme Legends Complete Edition,game,49.99,5/13/2014 0:00,71,0,0
130,278150,Sound Forge Audio Studio 10 - Steam Powered,game,49.99,06/02/2015 00:00,-1,0,0
131,278190,ACID Music Studio 10 - Steam Powered,game,49.99,06/02/2015 00:00,-1,0,0
132,280680,Krita Gemini,game,49.99,06/10/2014 00:00,-1,0,0
133,281610,Homeworld: Deserts of Kharak,game,49.99,1/20/2016 0:00,79,0,1
134,282560,RollerCoaster Tycoon World™,game,49.99,3/30/2016 0:00,-1,0,0
135,292030,The Witcher® 3: Wild Hunt,game,49.99,5/18/2015 0:00,93,0,0
136,298050,Master of Orion,game,49.99,2/25/2016 0:00,-1,0,1
137,301610,openCanvas 6,game,49.99,09/01/2014 00:00,-1,0,0
138,307960,IL-2 Sturmovik: Battle of Stalingrad,game,49.99,10/22/2014 0:00,74,0,1
139,321860,Disney Infinity 2.0: Marvel Super Heroes,game,49.99,11/21/2014 0:00,-1,0,1
140,321960,Might & Magic® Heroes® VII,game,49.99,9/29/2015 0:00,-1,0,1
141,322520,DYNASTY WARRIORS® 8 Empires,game,49.99,2/26/2015 0:00,-1,0,0
142,323470,DRAGON BALL XENOVERSE,game,49.99,2/26/2015 0:00,-1,0,1
143,324160,CLANNAD,game,49.99,11/23/2015 0:00,83,0,0
144,330720,Flashpoint Campaigns: Red Storm Player's Edition,game,49.99,11/21/2014 0:00,-1,0,1
145,331600,One Piece Pirate Warriors 3,game,49.99,8/27/2015 0:00,-1,0,0
146,335300,DARK SOULS™ II: Scholar of the First Sin,game,49.99,04/01/2015 00:00,80,13,1
147,335850,After Reset RPG,game,49.99,03/09/2015 00:00,-1,0,0
148,338080,A??????8,game,49.99,01/08/2015 00:00,-1,0,0
149,338930,TRANSFORMERS: Devastation,game,49.99,10/06/2015 00:00,-1,0,0
150,348470,SAMURAI WARRIORS 4-II,game,49.99,9/29/2015 0:00,-1,0,1
151,348710,Saint Seiya: Soldiers' Soul,game,49.99,11/24/2015 0:00,-1,0,1
152,349040,NARUTO SHIPPUDEN: Ultimate Ninja STORM 4,game,49.99,02/04/2016 00:00,-1,0,1
153,351970,Tales of Zestiria,game,49.99,10/19/2015 0:00,77,0,0
154,353890,Casey Powell Lacrosse 16,game,49.99,03/08/2016 00:00,-1,0,1
155,355060,Sébastien Loeb Rally EVO,game,49.99,1/29/2016 0:00,-1,0,1
156,364750,Hacker Evolution Source Code,game,49.99,05/11/2015 00:00,-1,0,0
157,369390,Scourge of War: Waterloo,game,49.99,11/19/2015 0:00,-1,0,1
158,372590,Grand Designer,game,49.99,4/13/2016 0:00,-1,0,0
159,375960,Pro Evolution Soccer 2016,game,49.99,9/16/2015 0:00,76,0,1
160,377870,DARIUSBURST Chronicle Saviours,game,49.99,12/03/2015 00:00,-1,0,0
161,378120,Football Manager 2016,game,49.99,11/12/2015 00:00,81,0,1
162,385730,WWE 2K16,game,49.99,03/10/2016 00:00,-1,0,1
163,386280,Vendetta - Curse of Raven's Cry,game,49.99,11/20/2015 0:00,-1,17,0
164,388820,Raiseland,game,49.99,08/03/2015 00:00,-1,0,0
165,400650,eMedia Guitar Method,game,49.99,03/07/2016 00:00,-1,0,0
166,400800,MXGP2 - The Official Motocross Videogame,game,49.99,04/07/2016 00:00,-1,0,1
167,403470,MAGIX PC Check & Tuning 2016,game,49.99,9/24/2015 0:00,-1,0,0
168,405690,Audials Moviebox 2016,game,49.99,10/23/2015 0:00,-1,0,0
169,425560,CyberLink Power2Go 10 Platinum,game,49.99,02/01/2016 00:00,-1,0,0
170,454530,Decisive Campaigns: Barbarossa,game,49.99,4/29/2016 0:00,-1,0,1
171,228880,Ashes of the Singularity,game,44.99,3/31/2016 0:00,68,0,1
172,233680,Black Ink,game,44.99,02/08/2016 00:00,-1,0,0
173,236690,Blood Bowl 2,game,44.99,9/22/2015 0:00,76,0,1
174,244210,Assetto Corsa,game,44.99,12/19/2014 0:00,85,0,1
175,272270,Torment: Tides of Numenera,game,44.99,1/26/2016 0:00,-1,0,0
176,291650,Pillars of Eternity,game,44.99,3/26/2015 0:00,89,0,0
177,301640,Zombie Army Trilogy,game,44.99,03/06/2015 00:00,72,0,0
178,318020,Act of Aggression,game,44.99,09/02/2015 00:00,71,0,1
179,325610,Total War: ATTILA,game,44.99,2/17/2015 0:00,80,0,1
180,326160,Shroud of the Avatar: Forsaken Virtues,game,44.99,11/24/2014 0:00,-1,0,1
181,335070,VRC PRO,game,44.99,3/24/2015 0:00,-1,0,1
182,400170,The Incredible Adventures of Van Helsing: Final Cut,game,44.99,11/06/2015 00:00,79,0,1
183,4230,RACE - The WTCC Game,game,39.99,11/24/2006 0:00,-1,0,1
184,4240,RACE - The WTCC Game,game,39.99,11/24/2006 0:00,-1,0,1
185,19000,Silent Hill Homecoming,game,39.99,11/06/2008 00:00,64,17,0
186,42680,Call of Duty®: Modern Warfare® 3,game,39.99,11/08/2011 00:00,-1,17,1
187,42690,Call of Duty®: Modern Warfare® 3,game,39.99,11/08/2011 00:00,-1,17,1
188,42700,Call of Duty®: Black Ops,game,39.99,11/09/2010 00:00,81,17,1
189,42710,Call of Duty®: Black Ops,game,39.99,11/09/2010 00:00,81,17,1
190,65980,Sid Meier's Civilization®: Beyond Earth™,game,39.99,10/23/2014 0:00,81,0,1
191,105450,Age of Empires® III: Complete Collection,game,39.99,01/05/2012 00:00,81,0,1
192,107410,Arma 3,game,39.99,09/12/2013 00:00,74,17,1
193,115300,Call of Duty®: Modern Warfare® 3,game,39.99,11/08/2011 00:00,-1,17,1
194,115320,Prototype 2,game,39.99,7/24/2012 0:00,76,17,0
195,203770,Crusader Kings II,game,39.99,2/14/2012 0:00,82,0,1
196,204880,Sins of a Solar Empire®: Rebellion,game,39.99,06/12/2012 00:00,82,0,1
197,206230,Clan of Champions,game,39.99,10/30/2012 0:00,42,18,1
198,210970,The Witness,game,39.99,1/26/2016 0:00,87,0,0
199,212580,The Amazing Spider-Man™,game,39.99,9/25/2012 0:00,-1,0,0
200,214130,aerofly FS,game,39.99,10/17/2012 0:00,-1,0,0
201,214630,Call of Duty: Black Ops - Mac Edition,game,39.99,9/27/2012 0:00,-1,18,1
202,215390,Damage Inc. Pacific Squadron WWII,game,39.99,8/28/2012 0:00,-1,0,1
203,216260,Don Bradman Cricket 14,game,39.99,6/25/2014 0:00,-1,0,1
204,216390,Fallen Enchantress: Ultimate Edition,game,39.99,10/23/2012 0:00,78,0,0
205,220200,Kerbal Space Program,game,39.99,4/27/2015 0:00,88,0,0
206,221680,Rocksmith 2014,game,39.99,10/22/2013 0:00,-1,0,0
207,222606,Train Simulator: Pacific Surfliner® LA - San Diego Route,game,39.99,10/17/2013 0:00,-1,0,0
208,222638,Train Simulator: South London Network Route Add-On,game,39.99,11/13/2014 0:00,-1,0,0
209,224060,Deadpool,game,39.99,6/25/2013 0:00,63,17,0
210,226860,Galactic Civilizations III,game,39.99,5/14/2015 0:00,81,0,1
211,228380,Next Car Game: Wreckfest,game,39.99,1/14/2014 0:00,-1,0,1
212,230330,FINAL FANTASY® XI: Ultimate Collection Seekers Edition,game,39.99,4/19/2013 0:00,-1,0,0
213,233130,Shadow Warrior,game,39.99,9/26/2013 0:00,73,18,0
214,234820,Driver Fusion Premium,game,39.99,05/06/2013 00:00,-1,0,0
215,236430,DARK SOULS™ II,game,39.99,4/25/2014 0:00,91,0,1
216,236850,Europa Universalis IV,game,39.99,8/13/2013 0:00,87,0,1
217,237370,PlayClaw - Game Recording and Streaming,game,39.99,09/10/2013 00:00,-1,0,0
218,239250,Castlevania: Lords of Shadow 2,game,39.99,2/25/2014 0:00,58,17,0
219,240760,Wasteland 2: Director's Cut,game,39.99,9/18/2014 0:00,87,17,0
220,243560,Adventure Time:  Explore the Dungeon Because I DON’T KNOW!,game,39.99,11/19/2013 0:00,-1,0,0
221,243950,Divinity: Dragon Commander,game,39.99,08/06/2013 00:00,-1,0,1
222,249650,Blackguards,game,39.99,1/22/2014 0:00,68,0,0
223,251020,Railroad X,game,39.99,06/09/2014 00:00,-1,0,0
224,251060,Wargame: Red Dragon,game,39.99,4/17/2014 0:00,78,0,1
225,252690,Fantasy Grounds,game,39.99,05/09/2014 00:00,-1,0,1
226,254671,Shadow Warrior,game,39.99,9/26/2013 0:00,73,18,0
227,255220,GRID Autosport,game,39.99,6/26/2014 0:00,78,0,1
228,257510,The Talos Principle,game,39.99,12/11/2014 00:00,85,0,0
229,261640,Borderlands: The Pre-Sequel,game,39.99,10/13/2014 0:00,75,17,0
230,261760,Lichdom: Battlemage,game,39.99,8/26/2014 0:00,69,0,0
231,262280,Dungeons 2,game,39.99,4/24/2015 0:00,70,0,1
232,262650,RaySupreme 3D,game,39.99,12/16/2013 0:00,-1,0,0
233,265970,Worlds of Magic,game,39.99,3/19/2015 0:00,52,0,1
234,267550,The Amazing Spider-Man 2™,game,39.99,4/29/2014 0:00,57,0,0
235,269470,MorphVOX Pro - Voice Changer,game,39.99,2/13/2014 0:00,-1,0,0
236,271240,Offworld Trading Company,game,39.99,4/28/2016 0:00,84,0,1
237,273350,Evolve,game,39.99,02/09/2015 00:00,77,17,1
238,276750,Fritz Chess 14,game,39.99,9/22/2014 0:00,-1,0,1
239,276810,Mordheim: City of the Damned,game,39.99,11/19/2015 0:00,74,0,1
240,281990,Stellaris,game,39.99,05/09/2016 20:16,-1,0,1
